Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Deeg Forest Carbon Project","4077","Deeg Timberland LTD","Verra","VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"Growing Forest Carbon Project","5003","Not specified","Verra","VCS-VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"Conservation and restoration of the tropical dry forest of the north coast of Peru","3179","AIDER","Verra","VM0006","Agriculture; forestry and fishing","Peru",Listed,,,0,0,0,0
"GUANGXI FANGCHENG DISTRICT IFM (CONVERSION OF LOGGED TO PROTECTED FOREST) PROJECT","2882","Not specified","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Reduction of the deforestation and degradation of tropical dry forests in Piura and Lambayeque","1455","Not specified","Verra","VM0015","Agriculture; forestry and fishing","Peru",Listed,,,0,0,0,0
"Laguna Seca Forest Carbon Project","1326","The Nature Conservancy","Verra","VM0007","Agriculture; forestry and fishing","Belize",Registered,,,0,2065750,1976297,89453
"Experimental regeneration of diverse forests on abandoned pastures in Panguana, Peru","2598","Panguana Stiftung","Verra","AR-AMS0007","Agriculture; forestry and fishing","Peru",Listed,,,0,0,0,0
"Kafue Zambezi Community Forest Project","5153","BioCarbon Partners","Verra","VM0048","Agriculture; forestry and fishing","Zambia",Listed,,,0,0,0,0
"Inner Mongolia Arxan Improved Forest Management Project","2715","Arxan Forest Industry Co. LTD","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Protection of the Bolivian Amazon Forest","818","Fermin Aldabe","Verra","VM0007","Agriculture; forestry and fishing",--,Registered,,,0,22000,20426,1574
"Lumin/Eucapine Uruguay Forest Plantations on degraded grasslands under extensive grazing","960","EUCAPINE S.R.L","Verra","AR-ACM0001","Agriculture; forestry and fishing","Uruguay",Registered,,,0,5163759,1752183,3411576
"Protection of the Amazon Rain Forest II","999","Redd Services","Verra","VM0007","Agriculture; forestry and fishing",--,Listed,,,0,0,0,0
"Forest Management to mitigate climate change in the native community of Bélgica, Madre de Dios Region – Peru","1799","Not specified","Verra","VM0015","Agriculture; forestry and fishing","Peru",Listed,,,0,0,0,0
"Inner Mongolia Chao’er Improved Forest Management Project","1529","Chaoer Forest Bureau of Inner Mongolia Autonomous Region","Verra","VM0010","Agriculture; forestry and fishing","China",Registered,,,0,812242,369210,443032
"Guizhou Xingren IFM (conversion of logged to protected forest) Project","2729","Xingren Lishuping State owned Forest Farm","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Darkwoods Forest Carbon Project","607","Nature Conservancy of Canada","Verra","VM0012","Agriculture; forestry and fishing","Canada",Listed,,,0,5323480,3421367,1902113
"SEA FOREST ENTERIC METHANE REDUCTION IN AUSTRALIA","5030","Sea Forest Limited","Verra","VM0041","Livestock, enteric fermentation, and manure management","Australia",Listed,,,0,0,0,0
"GS5047 VPA74 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XIX","GS11005","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Sichuan Ganluo IFM (conversion of logged to protected forest) Project","4780","Hangzhou Chaoteng Energy Technology Co.","Verra","VCS-VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Inner Mongolia Moerdaoga Improved Forest Management Project","2674","Mo’erdaoga Forest Industry Co. LTD","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"SEA FOREST ENTERIC METHANE REDUCTION IN AUSTRALIA","5030","Sea Forest Limited","Verra","VCS-VM0041","Livestock, enteric fermentation, and manure management","Australia",Listed,,,0,0,0,0
"Strengthening rural livelihood through carbon finance to agroforestry practices in Saharanpur Forest Circle of Uttar Pradesh","3663","Department of Environment","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Project Akwaaba | Forest Ecosystem Restoration in Ghana","5172","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Ghana",Listed,,,0,0,0,0
"Micro Hydro Power Plant Promotion Programme in Regions on the Upper Reaches of the Yangtze River, China (Micro Hydro Power Plant Promotion Programme in Forest Regions of Liangshan Prefecture, Sichuan Province)","VT6JX7YYU1IMXM4VG3PCR7R56S22CF","PEAR Carbon Offset Initiative","CDM Registry","CDM - AMS-I.E.","Energy industries (renewable - / non-renewable sources)","China",Registered,2014-01-17T00:00:00.000Z,2021-01-16T00:00:00.000Z,0,0,0,0
"Hubei Hongshan IFM (Conversion of Logged to Protected Forest) Project","1935","Zhejiang Zhongzheng Forestry Development Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Registered,,,0,1318902,532095,786807
"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil","1382","Not specified","Verra","VM0007","Agriculture; forestry and fishing","Brazil",Registered,,,0,18523222,8966842,9556380
"GS5047 VPA80 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project VIII","GS11016","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Strengthening rural livelihood through carbon finance: Agroforestry practices in Bareilly Forest Circle of Uttar Pradesh","4557","Uttar Pradesh Forest Department","Verra","AR-AMS0007","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Family Forest Carbon Program - Central Appalachia","3996","Family Forest Impact Foundation","Verra","Not specified","Agriculture; forestry and fishing","United States of America",Listed,,,0,0,0,0
"Proyecto Forestal CO2CERO Meta09","PCR-CO-CO-14-001","La empresa Industrias y Plantaciones S.A.S, por medio de su representante legal Tomás Echeverry Fajardo.","BioCarbon Standard","CDM - AR-ACM0003","Forestry","Colombia",De-registered,,,0,0,0,0
"Developing Carbon Finance Project For Van Panchayats In Soil Conservation  Forest Division Ranikhet (Uttarakhand)","3295","Not specified","Verra","VM0037","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Mjumita Community Forest Project (Lindi)","1325","Not specified","Verra","VM0015","Agriculture; forestry and fishing",--,Registered,,,0,36171,25375,10796
"Painted Forest Carbon Project","3812","Perimeter Forest Limited Partnership","Verra","VM0012","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"Use of charcoal from renewable biomass originated from forest plantations for the production of primary iron in Vallorec & Mannesmann do Brasil.","UEHN0DNLJ3ZTFJH92YQ56OATC021DA","EnvironmentFirst Energy Services","CDM Registry","CDM - AM0082","Metal production","Brazil",Validated,2012-09-01T00:00:00.000Z,2019-09-01T18:00:00.000Z,0,0,0,0
"Forest Conservation in Boumba-et-Ngoko","2897","Carbon Sink Group s.r.l.","Verra","VM0010","Agriculture; forestry and fishing","Cameroon",Registered,,,0,202283,138098,64185
"GS5047 VPA79 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project VII","GS11015","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Proyecto Forestal El Dorado","BCR-CO-956-14-001","Reforestadora El Dorado","BioCarbon Standard","BCR0001_ARR Activities","Forestry","Colombia",Listed,,,0,0,0,0
"Maya Forest Corridor REDD project","5294","Maya Forest Corridor Trust","Verra","VCS-VM0007","Agriculture; forestry and fishing","Belize",Listed,,,0,0,0,0
"Sichuan Lizhou Improved Forest Management Project","4528","China Carbon Sinks Holdings Limited","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"GS5047 VPA89 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XVI","GS11024","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Hunan Shimen IFM (conversion of logged to protected forest) Project","4183","Shimen County Economic Construction Investment Development Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Carpathia Forest Carbon Project","3280","Fundatia Conservation Carpathia","Verra","VM0012","Agriculture; forestry and fishing","Romania",Listed,,,0,0,0,0
"Monet Forest Conservation Project","2322","Solifor Bloc Monet S.E.C.","Verra","VM0010","Agriculture; forestry and fishing","Canada",Registered,,,0,35949,26537,9412
"Guangxi Tianyang IFM (conversion of logged to protected forest) Project","3074","Guangxi Tianyang Nali Investment & Development Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Carbon Emissions Reduction Project in the Forest Corridor Ambositra-Vondrozo (COFAV), Madagascar","1047","Govt. of Madagascar","Verra","VM0015","Agriculture; forestry and fishing","Madagascar",Registered,,,0,0,0,0
"Shaanxi Fengxian Improved Forest Management Project","4529","China Carbon Sinks Holdings Limited","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Yacumama Forest Carbon Project","1133","Lawrence Bishop","Verra","VM0007","Agriculture; forestry and fishing","Peru",Registered,,,0,95080,60913,34167
"Liaoning Kangping IFM (conversion of logged to protected forest) Project","2698","Kangping County Liaobei Seedling Development Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"GS5047 VPA75 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XX","GS11006","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"GS5047 VPA71 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XVI","GS11002","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"GS5047 VPA65 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project X","GS10996","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"EFM Improved Forest Management Group Project","1367","EFM Investments & Advisory","Verra","VM0003","Agriculture; forestry and fishing","United States of America",Listed,,,0,117969,16963,101006
"Henan Luoning IFM (conversion of logged to protected forest) Project","4110","Zhejiang Zhongzheng Forestry Development Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Bethlehem Authority Improved Forest Management Project","1060","Bethlehem Authority","Verra","VM0003","Agriculture; forestry and fishing","United States of America",Registered,,,0,265425,182448,82977
"GS5047 VPA51 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project II","GS10827","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Reforestation at the Idete Forest Project in the Southern Highlands of Tanzania","U8X9GK2B480JL11FFZYY4569RLALS5","Environmental Resources Management","CDM Registry","CDM - AR-AM0005","Afforestation and reforestation","United Republic of Tanzania",Validated,2003-09-18T00:00:00.000Z,2023-09-18T00:00:00.000Z,0,0,0,0
"Guangdong Huaiji County IFM (conversion of logged to protected forest) Project","4377","Huaiji County Weizhou Construction Investment and Development Group Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"YUNNAN DAYAO IFM (CONVERSION OF LOGGED TO PROTECTED FOREST) PROJECT","2621","Not specified","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Protection of a Tasmanian Native Forest (Project 3: Peter Downie)","587","Peter Downie","Verra","VM0010","Agriculture; forestry and fishing","Australia",Registered,,,0,221155,216345,4810
"Goldbeck Forest Carbon Project","4090","Aurum Sustainable Forest Inc.","Verra","VM0003","Agriculture; forestry and fishing","United States of America",Listed,,,0,0,0,0
"Kwamisa/Other reserves community Forest Project","3425","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Ghana",Listed,,,0,0,0,0
"Fujian Guangze IFM (conversion of logged to protected forest) Project","3457","Not specified","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"RE.GREEN ATLANTIC FOREST REFORESTATION/RESTORATION PROJECT","3743","Re.Green Participações S.A.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Strengthening Rural Livelihood Through Carbon Finance: Agroforestry Practices In Moradabad Forest Circle Of Uttar Pradesh","3661","Department of Environment","Verra","AR-AMS0007","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"GS5047 VPA49 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project III","GS10742","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Family Forest Carbon Project","4268","Forest Carbon Works PBC","Verra","VM0003","Agriculture; forestry and fishing","United States of America",Listed,,,0,162928,64551,98377
"GS5047 VPA58 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project VI","GS10986","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Listed,,,0,0,0,0
"Creation of Biodiverse Forests for Land Restoration and Community Development","3913","Efficient Ecosystem Protection Association","Verra","VCS-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Yunnan Kunming Liangqu Improved Forest Management Project","1542","Kunming Yuming Investment Development Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Registered,,,0,609638,306217,303421
"Hubei Xingshan IFM (conversion of logged to protected forest) Project","2638","Xingshan County Economic Development Investment Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Boreal Wildlands Forest Carbon Offset Project","4587","The Nature Conservancy of Canada","Verra","VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"Marudi Forest Conservation and Restoration Project","4814","SARACARBON SDN BHD","Verra","VM0007","Agriculture; forestry and fishing","Malaysia",Listed,,,0,0,0,0
"RE.GREEN AMAZON FOREST REFORESTATION/RESTORATION PROJECT","3772","Re.Green Participações S.A.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Guangxi Jinxiu IFM (conversion  of  logged  to  protected  forest)  Project","2326","Jinxiu Yao Autonomous County Zhengtong Asset Management Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Registered,,,0,248267,6021,242246
"Jilin Longjing IFM (conversion of logged to protected forest) Project","2661","Longjing State owned Sanhe Forest Farm","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Saving Colombia's Cloud Forest","2750","Saving Nature","Verra","AR-ACM0003","Agriculture; forestry and fishing","Colombia",Listed,,,0,0,0,0
"PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR","1695","Local Environmental Authority of Chivor (CORPOCHIVOR– Corporación Autónoma Regional de Chivor)","Verra","VM0015","Agriculture; forestry and fishing","Colombia",Registered,,,0,4145,262,3883
"Jiangxi Province Le'an County Forest Farm Carbon Sink Project","1162","Beijing Shengdahuitang Carbon Management Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Registered,,,0,500054,388284,111770
"Sichuan Nanjiang Improved Forest Management Project","3790","Sichuan Dingfeng State-owned Assets Investment (Group) Co. LTD","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Guangxi Cenxi IFM (conversion  of  logged  to  protected  forest)  Project","3127","Cenxi Rural Investment Co .","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"GS5047 VPA93 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XX","GS11028","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Proyecto Forestal MAVALLE en plantaciones de Caucho natural","PCR-CO-164-142-001","Carbo Sostenible S.A.S., FONCAP, y Sociedad Mavalle","BioCarbon Standard","BCR0001_ARR Activities","Forestry","Colombia",Registered,,,0,1917280,737015,1180265
"Yunnan Xishuangbanna Improved Forest Management Project","1664","Xishuangbanna Forestry Bureau of Yunnan province","Verra","VM0010","Agriculture; forestry and fishing","China",Registered,,,0,418043,130339,287704
"Acadian Forest Carbon Project","4078","Not specified","Verra","VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"GS5047 VPA54 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project II","GS10965","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Listed,,,0,0,0,0
"Rotunda Forest Carbon Project","2386","Global Forest Support GmbH","Verra","VM0012","Agriculture; forestry and fishing","Romania",Registered,,,0,6624,5745,879
"Pindo biomass energy generation from forest biomass","XNZANWNH838ALZ17PKL1WIBBSOM4FX","Energy Economy & Environmental Consultants","CDM Registry","CDM - AMS-I.D.; AMS-III.E.","NA","Argentina",Validated,2010-01-01T00:00:00.000Z,2016-12-31T18:00:00.000Z,0,0,0,0
"Hunan Cili IFM (conversion of logged to protected forest) Project","2936","Hunan Cili Jiangya Forest Farm","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Preserving Peat Swamp Forest Ecosystem Through Redd+ Activity In Kampar Peninsula Riau-Indonesia","1498","KPHP Tasik Besar Serkap (KPHP TBS)","Verra","VM0007","Agriculture; forestry and fishing","Indonesia",Listed,,,0,0,0,0
"Lurio Forest Landscape PoA","3M66FY6L03ERDWPD0JZON05UXVD13A","Lurio Green Resources","CDM Registry","CDM - AR-ACM0003","NA","Mozambique",Validated,2014-12-15T00:00:00.000Z,2021-12-14T00:00:00.000Z,0,0,0,0
"Inner Mongolia Kuduer Improved Forest Management Project.","4422","Kuduer Forest Industry Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Reforestation of Degraded Forest Reserve Land in Ghana","66","Mere Plantations Limited","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Ghana",Approved,,,0,361327,0,361327
"‘Guanaré’ Forest Plantations on degraded grasslands under extensive grazing","959","Guanaré SA","Verra","AR-ACM0001","Agriculture; forestry and fishing","Uruguay",Registered,,,0,8711094,5414253,3296841
"BigCoast Forest Climate Initiative","3018","Mosaic Forest Management Corporation","Verra","VM0012","Agriculture; forestry and fishing","Canada",Registered,,,0,2298020,452326,1845694
"GS5047 VPA68 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project XIII","GS10999","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"GS5047 VPA83 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XI","GS11019","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos","1765","Corporación Autónoma Regional del Río Grande de la Magdalena (CORMAGDALENA)","Verra","VM0015","Agriculture; forestry and fishing","Colombia",Registered,,,0,0,0,0
"Shaanxi Foping Improved Forest Management Project","3125","China Carbon Sinks Holdings Limited","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Proyecto de Mitigación Forestal Bonanza Verde","12","South Pole Carbon Asset Management","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,12759,10845,1914
"Afforestation in cooperation with local landowners for Forestal San Pedro S.A","2361","Forestal San Pedro S.A.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Paraguay",Registered,,,0,1055643,118237,937406
"Belize Maya Forest REDD+ Project","3960","The Nature Conservancy","Verra","VM0007","Agriculture; forestry and fishing","Belize",Listed,,,0,0,0,0
"Small scale Mirzapur JFM A/R CDM Project on degraded lands in Mirzapur Forest Division, Uttar Pradesh, India","YPKUTL6YB2OWGYFFFSO04RKV5UD2F5","n.a.","CDM Registry","CDM - AR-AMS0007","Afforestation and reforestation","India",Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"Fujian Wuping Improved Forest Management Project","3921","Jiangxi Huapeng Low-carbon Technology Limited","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"GS5047 VPA87 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XV","GS11023","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Small scale Renukoot JFM AR CDM Project on degraded lands in Renukoot Forest Division, Uttar Pradesh, India","1ZSZ2GG22GOSG8Q4L29ALRBT3YTFFW","n.a.","CDM Registry","CDM - AR-AMS0007","Afforestation and reforestation","India",Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"Hubei Yunyang IFM (CONVERSION OF LOGGED TO PROTECTED FOREST) PROJECT","2937","Shiyan Lvxin Guangjing New Energy Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Jiangxi Suichuan Improved Forest Management Project","3147","Jiangxi Tianye Biotechnology Limited","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Gashaka Gumti Forest Carbon Project","5308","Africa Nature Investors (ANI) Foundation","Verra","VM0047","Agriculture; forestry and fishing","Nigeria",Listed,,,0,0,0,0
"GS5047 VPA55 African Improved Cookstoves and Clean Water Programme: Busaga Natural Mountain Forest Cookstove Project III","GS10966","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Listed,,,0,0,0,0
"Yunnan Shizong IFM (conversion of logged to protected forest) Project","2699","Nanpanjiang Forestry Bureau of Yunnan Province","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Jiangxi Ruijin Improved Forest Management Project","3606","Jiangxi Tianye Biotechnology Limited","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Strengthening rural livelihood through carbon finance: Agroforestry practices in Lucknow Forest Circle of Uttar Pradesh","4148","Department of Environment","Verra","AR-AMS0007","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Inner Mongolia Chao’er Forest Industry IFM Project","3136","Chao’er Forest Bureau of Inner Mongolia Autonomous Region","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Proyecto Forestal CO2Cero Caucho PL UNO","PCR-CO-ECO-14-001","Rubberland de Colombia Ltda, Biorecursos S.A.S, Agropecuaria DALI S.A.S, Agromontana S.A.S, Heveas de la Llanura S.A.S., Agrolatex S.A., Invereste S.A.S. y Sifagro Ltda.","BioCarbon Standard","CDM - AR-ACM0003","Forestry","Colombia",De-registered,,,0,0,0,0
"Proyecto de Carbono Forestal Vichada Alianza Fiduciaria S.A.","BCR-CO-139-14-001","Alianza Fiduciaria S.A. - Fideicomiso","BioCarbon Standard","BCR0001_ARR Activities","Forestry","Colombia",Listed,,,0,0,0,0
"Kachung Forest Project: Afforestation on Degraded Lands","U3T39WU3P6F04ISC6OGTR0098OGZ5G","n.a.","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Uganda",Registered,2006-10-01T00:00:00.000Z,2026-09-30T00:00:00.000Z,345164,345164,0,345164
"GS5047 VPA86 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XIV","GS11022","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Developing Climate Resilience Of The Residential Society In Hyderabad Through Miyawaki Afforestation: Urban Forest Development","4459","SOW AND REAP AGRO PVT LTD","Verra","AR-AMS0007","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Lamaja Forest Carbon Project","4079","Lamaja Forestry Holding Ltd","Verra","VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,0,0,0
"Small scale Obra JFM A/R CDM Project on degraded lands in Obra Forest Division, Uttar Pradesh, India","ZYSW3EJW8IF7GDI6MYFA5KYCA84DD8","n.a.","CDM Registry","CDM - AR-AMS0007","Afforestation and reforestation","India",Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,9201,9201,0,9201
"Biomass power plant by Sahagreen Forest Project","202ZL3W3NUBNNSBCRW7V6MD82MV9RJ","n.a.","CDM Registry","CDM - AMS-I.D.","Energy industries (renewable - / non-renewable sources)","Thailand",Registered,2014-02-04T00:00:00.000Z,2024-02-03T00:00:00.000Z,0,0,0,0
"Sichuan Yingjing IFM (conversion of logged to protected forest) Project","2569","Yingjing County State-owned Assets Management Co.","Verra","VM0010","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
